AssetID,Day of DateOccurred,ProblemTypeName
1A952BAB-BCE5-E111-AEB9-0025B500016E,"March 26, 2015",Device Fault
1A952BAB-BCE5-E111-AEB9-0025B500016E,"March 27, 2015",Device Fault
1A952BAB-BCE5-E111-AEB9-0025B500016E,"April 2, 2015",Device Offline
1A952BAB-BCE5-E111-AEB9-0025B500016E,"April 6, 2015",Device Fault
1A952BAB-BCE5-E111-AEB9-0025B500016E,"April 17, 2015",Device Fault
1A952BAB-BCE5-E111-AEB9-0025B500016E,"April 20, 2015",Device Fault
1A952BAB-BCE5-E111-AEB9-0025B500016E,"April 27, 2015",Damage
1A952BAB-BCE5-E111-AEB9-0025B500016E,"May 11, 2015",Device Fault
1A952BAB-BCE5-E111-AEB9-0025B500016E,"September 30, 2015",Output Quality
1A952BAB-BCE5-E111-AEB9-0025B500016E,"October 1, 2015",Paper Jam
1A952BAB-BCE5-E111-AEB9-0025B500016E,"October 13, 2015",Damage
1A952BAB-BCE5-E111-AEB9-0025B500016E,"November 12, 2015",Paper Jam
1A952BAB-BCE5-E111-AEB9-0025B500016E,"February 11, 2016",Paper Jam
1A749644-FBE0-E311-80C1-0025B500016E,"September 25, 2014",Paper Jam
1A749644-FBE0-E311-80C1-0025B500016E,"November 24, 2014",Paper Jam
1A749644-FBE0-E311-80C1-0025B500016E,"January 20, 2015",Device Fault
1A749644-FBE0-E311-80C1-0025B500016E,"June 11, 2015",Environmental Issue
1A749644-FBE0-E311-80C1-0025B500016E,"September 17, 2015",Device Fault
1A749644-FBE0-E311-80C1-0025B500016E,"September 25, 2015",Device Fault
1A749644-FBE0-E311-80C1-0025B500016E,"October 2, 2015",Paper Jam
1A749644-FBE0-E311-80C1-0025B500016E,"October 7, 2015",Device Fault
1A749644-FBE0-E311-80C1-0025B500016E,"November 30, 2015",Device Fault
1A749644-FBE0-E311-80C1-0025B500016E,"March 4, 2016",Device Fault
1AB2D915-8223-E211-AEC9-0025B500016E,"February 4, 2013",Device Offline
1AB2D915-8223-E211-AEC9-0025B500016E,"October 15, 2013",Equitrac
1AB2D915-8223-E211-AEC9-0025B500016E,"March 19, 2015",Device Fault
1AB2D915-8223-E211-AEC9-0025B500016E,"December 2, 2015",Device Fault
1B4F8414-3DE0-E111-AD34-0025B500016E,"December 10, 2013",Device Offline
1B4F8414-3DE0-E111-AD34-0025B500016E,"April 25, 2014",Scanning Issue
1B4F8414-3DE0-E111-AD34-0025B500016E,"August 28, 2014",Device Fault
1B4F8414-3DE0-E111-AD34-0025B500016E,"September 10, 2014",Paper Jam
1B4F8414-3DE0-E111-AD34-0025B500016E,"September 17, 2014",Accessory Issue
1B4F8414-3DE0-E111-AD34-0025B500016E,"November 21, 2014",Paper Jam
1B4F8414-3DE0-E111-AD34-0025B500016E,"December 1, 2014",Device Fault
1B4F8414-3DE0-E111-AD34-0025B500016E,"August 31, 2015",Paper Jam
1B4F8414-3DE0-E111-AD34-0025B500016E,"October 23, 2015",Paper Jam
1C6BC96D-90F2-E111-AEC9-0025B500016E,"October 18, 2012",Paper Jam
1C6BC96D-90F2-E111-AEC9-0025B500016E,"February 13, 2013",Device Fault
1C6BC96D-90F2-E111-AEC9-0025B500016E,"March 8, 2013",Paper Jam
1C6BC96D-90F2-E111-AEC9-0025B500016E,"April 9, 2013",Paper Jam
1C6BC96D-90F2-E111-AEC9-0025B500016E,"May 8, 2013",Consumable Issue
1C6BC96D-90F2-E111-AEC9-0025B500016E,"May 10, 2013",Paper Jam
1C6BC96D-90F2-E111-AEC9-0025B500016E,"May 21, 2013",Output Quality
1C6BC96D-90F2-E111-AEC9-0025B500016E,"June 7, 2013",Paper Jam
1C6BC96D-90F2-E111-AEC9-0025B500016E,"September 27, 2013",Accessory Issue
1C6BC96D-90F2-E111-AEC9-0025B500016E,"November 18, 2013",Output Quality
1C6BC96D-90F2-E111-AEC9-0025B500016E,"January 16, 2014",Device Fault
1C6BC96D-90F2-E111-AEC9-0025B500016E,"February 25, 2014",Paper Jam
1C6BC96D-90F2-E111-AEC9-0025B500016E,"March 27, 2014",Paper Jam
1C6BC96D-90F2-E111-AEC9-0025B500016E,"April 3, 2014",Paper Jam
1C6BC96D-90F2-E111-AEC9-0025B500016E,"May 29, 2014",Device Fault
1C6BC96D-90F2-E111-AEC9-0025B500016E,"June 13, 2014",Paper Jam
1C6BC96D-90F2-E111-AEC9-0025B500016E,"July 3, 2014",Device Offline
1C6BC96D-90F2-E111-AEC9-0025B500016E,"October 9, 2014",Device Fault
1C6BC96D-90F2-E111-AEC9-0025B500016E,"November 5, 2014",Paper Jam
1C6BC96D-90F2-E111-AEC9-0025B500016E,"January 8, 2015",Scanning Issue
1C6BC96D-90F2-E111-AEC9-0025B500016E,"January 27, 2015",Device Fault
1C6BC96D-90F2-E111-AEC9-0025B500016E,"January 30, 2015",Paper Jam
1C6BC96D-90F2-E111-AEC9-0025B500016E,"February 19, 2015",Device Offline
1C6BC96D-90F2-E111-AEC9-0025B500016E,"April 27, 2015",Scanning Issue
1C6BC96D-90F2-E111-AEC9-0025B500016E,"May 18, 2015",Damage
1C6BC96D-90F2-E111-AEC9-0025B500016E,"May 27, 2015",Damage
1C6BC96D-90F2-E111-AEC9-0025B500016E,"November 5, 2015",Paper Jam
1C6BC96D-90F2-E111-AEC9-0025B500016E,"December 14, 2015",Output Quality
1C6BC96D-90F2-E111-AEC9-0025B500016E,"January 11, 2016",Device Fault
1EF3F316-3DE0-E111-AD34-0025B500016E,"April 19, 2013",Device Fault
1EF3F316-3DE0-E111-AD34-0025B500016E,"April 25, 2013",Environmental Issue
1EF3F316-3DE0-E111-AD34-0025B500016E,"August 6, 2013",Damage
1EF3F316-3DE0-E111-AD34-0025B500016E,"September 5, 2013",Damage
1EF3F316-3DE0-E111-AD34-0025B500016E,"November 13, 2013",Paper Jam
1EF3F316-3DE0-E111-AD34-0025B500016E,"November 15, 2013",Device Fault
1EF3F316-3DE0-E111-AD34-0025B500016E,"December 6, 2013",Environmental Issue
1EF3F316-3DE0-E111-AD34-0025B500016E,"March 4, 2014",Paper Jam
1EF3F316-3DE0-E111-AD34-0025B500016E,"March 14, 2014",Device Fault
1EF3F316-3DE0-E111-AD34-0025B500016E,"March 20, 2014",Paper Jam
1EF3F316-3DE0-E111-AD34-0025B500016E,"March 21, 2014",Paper Jam
1EF3F316-3DE0-E111-AD34-0025B500016E,"March 28, 2014",Device Fault
1EF3F316-3DE0-E111-AD34-0025B500016E,"April 11, 2014",Device Fault
1EF3F316-3DE0-E111-AD34-0025B500016E,"May 5, 2014",Paper Jam
1EF3F316-3DE0-E111-AD34-0025B500016E,"May 28, 2014",Paper Jam
1EF3F316-3DE0-E111-AD34-0025B500016E,"November 12, 2014",Paper Jam
1EF3F316-3DE0-E111-AD34-0025B500016E,"January 13, 2015",Device Fault
1EF3F316-3DE0-E111-AD34-0025B500016E,"February 24, 2015",Device Fault
1EF3F316-3DE0-E111-AD34-0025B500016E,"February 27, 2015",Device Fault
1EF3F316-3DE0-E111-AD34-0025B500016E,"March 17, 2015",Device Fault
1EF3F316-3DE0-E111-AD34-0025B500016E,"March 20, 2015",Device Fault
1EF3F316-3DE0-E111-AD34-0025B500016E,"March 23, 2015",Paper Jam
1EF3F316-3DE0-E111-AD34-0025B500016E,"October 19, 2015",Paper Jam
1EF3F316-3DE0-E111-AD34-0025B500016E,"March 8, 2016",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"October 15, 2012",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"December 5, 2012",Paper Jam
1FF98D24-BCDA-E111-AD34-0025B500016E,"December 6, 2012",Accessory Issue
1FF98D24-BCDA-E111-AD34-0025B500016E,"January 8, 2013",Paper Jam
1FF98D24-BCDA-E111-AD34-0025B500016E,"April 19, 2013",Output Quality
1FF98D24-BCDA-E111-AD34-0025B500016E,"May 6, 2013",Environmental Issue
1FF98D24-BCDA-E111-AD34-0025B500016E,"June 13, 2013",Device Offline
1FF98D24-BCDA-E111-AD34-0025B500016E,"July 9, 2013",Consumable Issue
1FF98D24-BCDA-E111-AD34-0025B500016E,"August 26, 2013",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"September 4, 2013",Paper Jam
1FF98D24-BCDA-E111-AD34-0025B500016E,"October 1, 2013",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"October 9, 2013",Paper Jam
1FF98D24-BCDA-E111-AD34-0025B500016E,"October 10, 2013",Paper Jam
1FF98D24-BCDA-E111-AD34-0025B500016E,"October 15, 2013",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"November 5, 2013",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"December 5, 2013",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"January 9, 2014",Paper Jam
1FF98D24-BCDA-E111-AD34-0025B500016E,"January 15, 2014",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"January 29, 2014",Paper Jam
1FF98D24-BCDA-E111-AD34-0025B500016E,"January 30, 2014",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"May 27, 2014",Paper Jam
